// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	1040424495													0.263533	2.191094	0.794200	-0.436386	-0.899645	-0.014364	0.163523	-0.094997	0.981955	-0.884776	0.426162	0.188568
2	1040441162													0.219733	2.801390	0.622374	-0.443276	-0.895952	-0.027876	0.159907	-0.109638	0.981025	-0.882007	0.430407	0.191869
3	1040457829													0.024151	3.394498	1.008743	-0.448417	-0.892874	-0.041210	0.154150	-0.122667	0.980403	-0.880432	0.433277	0.192642
4	1040474496													-0.801681	3.929285	0.865652	-0.451145	-0.890924	-0.052182	0.148455	-0.132573	0.979993	-0.880017	0.434372	0.192072
5	1040491163													-1.789382	4.344276	0.743279	-0.452323	-0.889730	-0.061515	0.143534	-0.140698	0.979593	-0.880228	0.434263	0.191347
6	1040507830													-2.149605	5.161465	0.808314	-0.452761	-0.889107	-0.067060	0.139545	-0.144943	0.979550	-0.880645	0.434144	0.189695
7	1040524497													-2.606516	5.961730	2.517148	-0.453066	-0.888881	-0.067986	0.135291	-0.143936	0.980295	-0.881152	0.434940	0.185470
8	1040541164													-2.449591	4.705170	2.720948	-0.445731	-0.892853	-0.064322	0.134532	-0.137853	0.981274	-0.885000	0.428731	0.181563
9	1040557831													-1.600303	4.277039	1.315469	-0.427799	-0.901970	-0.058639	0.137605	-0.129109	0.982036	-0.893338	0.412045	0.179348
10	1040574498													-0.936724	4.524514	0.862267	-0.403799	-0.913672	-0.046363	0.140704	-0.112101	0.983685	-0.903963	0.390688	0.173823
11	1040591165													-0.674920	4.416819	0.889432	-0.375143	-0.926535	-0.028290	0.140463	-0.086985	0.986257	-0.916263	0.366014	0.162776
12	1040607832													-0.995786	2.905406	-0.494518	-0.334486	-0.942393	-0.003826	0.138985	-0.053345	0.988857	-0.932096	0.330227	0.148822
13	1040624499													-0.638477	0.033289	-0.627459	-0.289976	-0.956747	0.023456	0.133729	-0.016239	0.990885	-0.947645	0.290469	0.132654
14	1040641166													0.953656	-0.253320	1.539831	-0.244597	-0.968577	0.045071	0.118141	0.016367	0.992862	-0.962401	0.248176	0.110425
15	1040657833													1.173988	-0.594014	4.178802	-0.197911	-0.978660	0.055277	0.087316	0.038567	0.995434	-0.976323	0.201834	0.077820
16	1040674500													0.701791	-1.327365	5.651341	-0.142855	-0.988201	0.055233	0.050410	0.048469	0.997552	-0.988459	0.145290	0.042891
17	1040691167													2.604261	-2.151914	5.924737	-0.080322	-0.994701	0.064166	0.022244	0.062569	0.997793	-0.996521	0.081572	0.017101
18	1040707834													4.007444	-3.642533	3.625730	-0.021066	-0.994389	0.103667	0.002853	0.103630	0.994612	-0.999774	0.021248	0.000654
