// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	1040424495													-0.358732	0.287804	-0.348111	0.183913	0.982513	0.029074	0.162798	-0.001277	-0.986659	-0.969367	0.186192	-0.160186
2	1040441162													-0.533850	-0.133412	-0.662376	0.188502	0.981304	0.038841	0.163159	0.007708	-0.986570	-0.968425	0.192308	-0.158656
3	1040457829													-0.500320	0.565448	-0.837430	0.185270	0.981665	0.044823	0.162745	0.014332	-0.986564	-0.969118	0.190075	-0.157105
4	1040474496													-0.055303	1.662777	-0.886578	0.176987	0.983070	0.047420	0.161910	0.018442	-0.986633	-0.970804	0.182299	-0.155904
5	1040491163													0.837929	2.096832	-0.046095	0.166701	0.984895	0.046824	0.160906	0.019679	-0.986774	-0.972790	0.172031	-0.155195
6	1040507830													1.418301	1.590843	2.075514	0.159493	0.986049	0.047634	0.158866	0.021986	-0.987055	-0.974332	0.164996	-0.153143
7	1040524497													-0.099460	1.778886	5.301827	0.146673	0.987979	0.048822	0.151639	0.026315	-0.988086	-0.977493	0.152329	-0.145957
8	1040541164													-1.765007	3.892386	6.327169	0.128295	0.990508	0.049341	0.139572	0.031223	-0.989720	-0.981866	0.133862	-0.134241
9	1040557831													-0.385829	3.905200	4.331100	0.148096	0.987985	0.044184	0.127079	0.025295	-0.991570	-0.980774	0.152463	-0.121806
10	1040574498													-1.399152	-2.551967	1.988073	0.188373	0.981472	0.035042	0.115101	0.013372	-0.993264	-0.975329	0.191138	-0.110450
11	1040591165													-0.908051	-6.128750	-0.980298	0.197794	0.980031	0.020430	0.104859	-0.000432	-0.994487	-0.974619	0.198846	-0.102851
12	1040607832													-0.563528	-3.516559	-3.128526	0.174010	0.984732	0.004901	0.098587	-0.012469	-0.995050	-0.979797	0.173632	-0.099251
13	1040624499													0.269720	-0.664247	-3.156108	0.150152	0.988632	-0.007809	0.095312	-0.022336	-0.995197	-0.984058	0.148686	-0.097583
14	1040641166													0.914024	-2.246635	-1.956241	0.147086	0.989011	-0.014951	0.092338	-0.028779	-0.995312	-0.984804	0.145016	-0.095556
15	1040657833													1.120921	-4.501263	-2.087323	0.156207	0.987575	-0.017201	0.087297	-0.031151	-0.995695	-0.983859	0.154033	-0.091078
16	1040674500													1.282193	-4.318947	-2.075348	0.155482	0.987698	-0.016687	0.079367	-0.029328	-0.996414	-0.984645	0.153600	-0.082951
17	1040691167													1.296377	-3.475174	-0.360487	0.141462	0.989846	-0.013932	0.070634	-0.024130	-0.997210	-0.987421	0.140083	-0.073330
18	1040707834													1.157394	-2.342550	3.212951	0.120193	0.992690	-0.010977	0.064602	-0.018855	-0.997733	-0.990646	0.119211	-0.066396
19	1040724501													1.521751	-0.167240	5.004644	0.106615	0.994248	-0.010173	0.063836	-0.017055	-0.997815	-0.992249	0.105733	-0.065287
20	1040741168													0.915739	1.896988	3.657373	0.102314	0.994714	-0.008765	0.067425	-0.015726	-0.997600	-0.992464	0.101477	-0.068678
21	1040757835													-0.263350	2.548713	0.996358	0.113001	0.993573	-0.006657	0.073082	-0.014993	-0.997213	-0.990903	0.112200	-0.074306
22	1040774502													-0.867411	1.355977	-0.667236	0.124216	0.992251	-0.003033	0.080488	-0.013123	-0.996669	-0.988985	0.123558	-0.081494
23	1040791169													-1.274511	-0.649674	-0.766941	0.127744	0.991803	0.002825	0.088839	-0.008606	-0.996009	-0.987820	0.127485	-0.089211
24	1040807836													-1.425496	-1.281377	-0.770839	0.132487	0.991147	0.008682	0.096083	-0.004125	-0.995365	-0.986517	0.132707	-0.095779
25	1040824503													-1.595192	-1.113342	-1.538945	0.136034	0.990626	0.012475	0.101167	-0.001364	-0.994868	-0.985525	0.136598	-0.100405
26	1040841170													-1.501587	-0.761154	-1.631158	0.135286	0.990723	0.012896	0.104438	-0.001316	-0.994531	-0.985287	0.135893	-0.103647
27	1040857837													-0.955847	-0.644638	-1.179294	0.136731	0.990553	0.010438	0.106537	-0.004228	-0.994300	-0.984863	0.137064	-0.106108
28	1040874504													-0.572186	-0.650475	-1.478568	0.144123	0.989546	0.005115	0.107980	-0.010588	-0.994097	-0.983651	0.143825	-0.108377
29	1040891171													-0.436965	-0.378110	-2.274076	0.149939	0.988694	-0.001615	0.109429	-0.018219	-0.993828	-0.982621	0.148837	-0.110923
30	1040907838													-0.558764	0.095286	-2.694885	0.147585	0.989006	-0.009268	0.111038	-0.025880	-0.993479	-0.982797	0.145594	-0.113637
31	1040924505													-0.670113	0.197839	-2.051481	0.140445	0.989932	-0.017624	0.112652	-0.033662	-0.993064	-0.983659	0.137486	-0.116245
32	1040941172													-0.682160	0.332136	-1.257043	0.136357	0.990323	-0.025848	0.114190	-0.041630	-0.992586	-0.984057	0.132394	-0.118762
33	1040957839													-0.633835	0.612324	-1.009378	0.137146	0.989932	-0.035014	0.114990	-0.051020	-0.992056	-0.983854	0.132030	-0.120830
34	1040974506													-0.391359	0.954988	-1.024361	0.138772	0.989322	-0.044555	0.114780	-0.060755	-0.991531	-0.983650	0.132483	-0.121985
35	1040991173													-0.233408	0.990314	-0.740142	0.139560	0.988743	-0.053954	0.113207	-0.070061	-0.991098	-0.983721	0.132210	-0.121710
36	1041007840													-0.088888	0.834031	-0.501568	0.140360	0.988124	-0.062533	0.110146	-0.078350	-0.990822	-0.983955	0.132184	-0.119835
37	1041024507													0.070429	0.906716	-0.408459	0.140112	0.987672	-0.069810	0.106254	-0.085097	-0.990691	-0.984418	0.131390	-0.116867
38	1041041174													0.001700	1.145612	-0.171117	0.137449	0.987660	-0.075066	0.102316	-0.089537	-0.990714	-0.985210	0.128492	-0.113360
39	1041057841													-0.020902	1.388821	0.238063	0.135428	0.987656	-0.078706	0.098567	-0.092474	-0.990824	-0.985872	0.126428	-0.109874
40	1041074508													-0.350209	1.157215	0.629580	0.138201	0.987000	-0.082043	0.094926	-0.095657	-0.990878	-0.985845	0.129152	-0.106912
41	1041091175													-0.643856	0.660632	0.830860	0.146073	0.985565	-0.085579	0.091200	-0.099554	-0.990844	-0.985061	0.136931	-0.104426
42	1041107842													-1.000656	-0.040216	0.608216	0.157457	0.983489	-0.089199	0.087306	-0.103836	-0.990755	-0.983659	0.148213	-0.102214
43	1041124509													-1.063279	-0.426732	-0.125690	0.168249	0.981380	-0.092656	0.083771	-0.107891	-0.990627	-0.982179	0.158910	-0.100363
44	1041141176													-0.923827	-0.310732	-0.626223	0.173851	0.980045	-0.096369	0.081626	-0.111863	-0.990365	-0.981383	0.164309	-0.099445
45	1041157843													-0.886702	0.324351	-0.658781	0.174347	0.979689	-0.099061	0.081900	-0.114681	-0.990020	-0.981272	0.164494	-0.100231
46	1041174510													-1.244001	0.948984	-0.462158	0.172908	0.979711	-0.101338	0.084456	-0.117257	-0.989504	-0.981310	0.162534	-0.103017
47	1041191177													-1.156060	0.147908	0.411902	0.173110	0.979259	-0.105283	0.088526	-0.121935	-0.988582	-0.980916	0.161813	-0.107798
48	1041207844													0.457619	-0.716753	1.788425	0.173208	0.978130	-0.115151	0.097171	-0.133319	-0.986298	-0.980080	0.159645	-0.118138
49	1041224511													1.381598	1.601465	3.615122	0.140491	0.982249	-0.124292	0.115277	-0.140911	-0.983288	-0.983348	0.123815	-0.133028
50	1041241178													1.519631	4.369955	3.533959	0.115792	0.985926	-0.120589	0.133673	-0.135769	-0.981681	-0.984238	0.097551	-0.147513
51	1041257845													0.255225	2.063535	2.727730	0.134380	0.984681	-0.111112	0.145526	-0.130524	-0.980707	-0.980186	0.115618	-0.160837
52	1041274512													-0.005091	-1.015668	1.550153	0.151304	0.983549	-0.098683	0.154611	-0.122151	-0.980395	-0.976321	0.133080	-0.170549
53	1041291179													0.127448	-1.361767	0.962580	0.145233	0.984872	-0.094521	0.159665	-0.117611	-0.980140	-0.976430	0.127257	-0.174330
54	1041307846													0.034675	-0.177437	0.866617	0.132979	0.986924	-0.091096	0.161176	-0.112223	-0.980525	-0.977926	0.115706	-0.173992
55	1041324513													0.107354	0.613354	2.117742	0.118851	0.988875	-0.089442	0.161365	-0.108120	-0.980954	-0.979712	0.102155	-0.172420
