// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	615886462													0.042351	-0.048253	0.068851	-0.119908	0.489282	-0.863843	-0.985957	0.043186	0.161319	0.116236	0.871056	0.477233
2	615903129													0.154449	-0.100390	0.075890	-0.119753	0.487995	-0.864592	-0.985856	0.044399	0.161609	0.117251	0.871716	0.475776
3	615919796													0.164028	-0.032399	0.040902	-0.121013	0.486933	-0.865016	-0.985301	0.046927	0.164257	0.120575	0.872178	0.474096
4	615936463													0.078599	0.045402	0.012613	-0.123085	0.487121	-0.864617	-0.984690	0.048419	0.167457	0.123436	0.871991	0.473703
5	615953130													0.000072	-0.039488	0.028477	-0.124777	0.487122	-0.864374	-0.984329	0.048636	0.169502	0.124607	0.871979	0.473419
6	615969797													-0.066644	-0.106883	0.029397	-0.125392	0.487969	-0.863807	-0.984164	0.048777	0.170417	0.125292	0.871497	0.474125
7	615986464													-0.113086	-0.036026	0.001143	-0.125079	0.488715	-0.863431	-0.984158	0.049100	0.170360	0.125652	0.871060	0.474832
8	616003131													-0.144570	0.029593	-0.005252	-0.124421	0.489177	-0.863264	-0.984275	0.049098	0.169683	0.125390	0.870801	0.475376
9	616019798													-0.132936	0.044133	0.041999	-0.123688	0.489760	-0.863039	-0.984449	0.048775	0.168767	0.124750	0.870492	0.476111
10	616036465													-0.140220	0.021232	0.043399	-0.122927	0.489782	-0.863136	-0.984629	0.048544	0.167776	0.124074	0.870493	0.476286
11	616053132													-0.158860	0.050403	0.037582	-0.122101	0.488983	-0.863705	-0.984801	0.048614	0.166742	0.123522	0.870938	0.475615
12	616069799													-0.172637	0.063165	-0.020136	-0.121209	0.487754	-0.864525	-0.984991	0.048724	0.165588	0.122889	0.871620	0.474528
