// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	2232639799													-0.155469	0.257800	-0.112977	-0.334413	0.051780	0.941003	-0.849017	0.416852	-0.324661	-0.409070	-0.907498	-0.095438
2	2232656466													-0.106706	0.260804	-0.220467	-0.337985	0.049281	0.939860	-0.849999	0.412758	-0.327312	-0.404065	-0.909507	-0.097617
3	2232673133													-0.000748	0.089861	-0.141311	-0.341635	0.047312	0.938641	-0.851167	0.407896	-0.330358	-0.398498	-0.911802	-0.099081
4	2232689800													0.131224	-0.039598	-0.203969	-0.343976	0.045461	0.937877	-0.851681	0.405468	-0.332017	-0.395373	-0.912978	-0.100753
5	2232706467													0.034204	-0.192337	-0.071119	-0.344961	0.044749	0.937550	-0.851666	0.404948	-0.332689	-0.394547	-0.913244	-0.101580
6	2232723134													-0.033654	-0.299330	-0.020128	-0.345945	0.044595	0.937194	-0.850914	0.405933	-0.333412	-0.395306	-0.912814	-0.102484
7	2232739801													-0.003629	-0.276744	-0.054767	-0.346915	0.046114	0.936762	-0.849666	0.407468	-0.334719	-0.397136	-0.912055	-0.102175
8	2232756468													0.128783	-0.152997	-0.133765	-0.347873	0.047982	0.936313	-0.848462	0.408771	-0.336181	-0.398868	-0.911375	-0.101489
9	2232773135													0.279140	-0.085652	-0.208268	-0.348694	0.049432	0.935932	-0.847695	0.409326	-0.337439	-0.399782	-0.911048	-0.100826
10	2232789802													0.130982	-0.133311	-0.114068	-0.349258	0.050574	0.935661	-0.847351	0.409234	-0.338414	-0.400019	-0.911027	-0.100074
11	2232806469													0.008408	-0.085758	-0.116554	-0.349702	0.052811	0.935371	-0.847005	0.408844	-0.339748	-0.400363	-0.911075	-0.098242
12	2232823136													-0.157170	-0.035811	-0.055090	-0.350063	0.057061	0.934987	-0.846441	0.408278	-0.341827	-0.401240	-0.911072	-0.094624
13	2232839803													0.030596	-0.017339	-0.121799	-0.350526	0.062564	0.934461	-0.845692	0.407571	-0.344516	-0.402414	-0.911028	-0.089954
14	2232856470													0.131688	0.057486	-0.127728	-0.351089	0.067816	0.933883	-0.845034	0.406643	-0.347216	-0.403304	-0.911067	-0.085461
15	2232873137													0.223955	0.144838	-0.198751	-0.351858	0.071848	0.933292	-0.844574	0.405530	-0.349630	-0.403598	-0.911254	-0.082008
16	2232889804													0.208933	0.155948	-0.233453	-0.352708	0.074876	0.932733	-0.844298	0.404293	-0.351722	-0.403433	-0.911559	-0.079380
17	2232906471													0.083736	0.095635	-0.104369	-0.353309	0.078192	0.932233	-0.844034	0.403121	-0.353694	-0.403459	-0.911800	-0.076429
18	2232923138													0.116161	0.123194	-0.187546	-0.353836	0.081122	0.931783	-0.843812	0.402055	-0.355433	-0.403462	-0.912015	-0.073810
19	2232939805													0.113128	0.109750	-0.171371	-0.354425	0.083665	0.931334	-0.843591	0.401075	-0.357063	-0.403408	-0.912217	-0.071572
20	2232956472													0.296131	0.178095	-0.260076	-0.355214	0.084784	0.930932	-0.843558	0.400031	-0.358308	-0.402781	-0.912571	-0.070577
21	2232973139													0.353356	0.066227	-0.230141	-0.356404	0.084333	0.930518	-0.843729	0.398776	-0.359304	-0.401370	-0.913162	-0.070972
22	2232989806													0.354842	-0.017546	-0.196219	-0.357646	0.082966	0.930165	-0.844018	0.397552	-0.359982	-0.399655	-0.913821	-0.072158
23	2233006473													0.294949	-0.070545	-0.177076	-0.358813	0.081838	0.929815	-0.844289	0.396329	-0.360692	-0.398031	-0.914454	-0.073114
24	2233023140													0.030530	-0.005755	-0.040115	-0.359936	0.081469	0.929413	-0.844445	0.395111	-0.361664	-0.396685	-0.915014	-0.073419
25	2233039807													0.061927	0.026750	-0.051834	-0.361099	0.080989	0.929004	-0.844444	0.394251	-0.362602	-0.395627	-0.915427	-0.073973
26	2233056474													0.242377	0.083460	-0.091993	-0.362634	0.080045	0.928488	-0.844302	0.393560	-0.363683	-0.394527	-0.915807	-0.075136
27	2233073141													0.416216	0.048414	-0.152649	-0.364669	0.077815	0.927880	-0.844057	0.393148	-0.364696	-0.393173	-0.916176	-0.077689
28	2233089808													0.310022	0.060389	-0.109153	-0.367288	0.074264	0.927138	-0.843647	0.393094	-0.365700	-0.391610	-0.916495	-0.081725
29	2233106475													-0.029987	0.082125	0.053261	-0.370943	0.069110	0.926081	-0.842920	0.393446	-0.366995	-0.389726	-0.916746	-0.087692
30	2233123142													-0.273548	0.074337	0.108253	-0.375946	0.062866	0.924507	-0.841570	0.394422	-0.369041	-0.387846	-0.916777	-0.095375
31	2233139809													-0.154929	-0.241427	0.241892	-0.382287	0.055954	0.922348	-0.839546	0.395963	-0.371989	-0.386030	-0.916560	-0.104395
32	2233156476													0.101711	-0.412530	0.205651	-0.389572	0.048531	0.919716	-0.837172	0.397588	-0.375588	-0.383896	-0.916280	-0.114260
33	2233173143													0.163159	-0.496781	0.175613	-0.397372	0.040802	0.916750	-0.834636	0.399159	-0.379545	-0.381416	-0.915973	-0.124560
34	2233189810													0.286257	-0.432873	0.203928	-0.405396	0.033660	0.913521	-0.832037	0.400336	-0.383987	-0.378641	-0.915750	-0.134288
35	2233206477													-0.143818	-0.256262	0.338127	-0.413623	0.027625	0.910029	-0.829238	0.401222	-0.389082	-0.375872	-0.915564	-0.143047
36	2233223144													-0.393008	-0.224152	0.272383	-0.422101	0.024155	0.906227	-0.825911	0.401903	-0.395405	-0.373766	-0.915364	-0.149694
37	2233239811													-0.035096	-0.224945	0.108350	-0.430726	0.022217	0.902209	-0.822200	0.402528	-0.402441	-0.372105	-0.915138	-0.155113
38	2233256478													0.183286	-0.223618	-0.021165	-0.439559	0.020681	0.897976	-0.818268	0.403089	-0.409825	-0.370439	-0.914927	-0.160259
39	2233273145													0.337610	-0.126889	-0.203004	-0.448612	0.018067	0.893544	-0.814339	0.403678	-0.417008	-0.368239	-0.914723	-0.166382
40	2233289812													0.262427	-0.104866	-0.278450	-0.457828	0.014328	0.888925	-0.810412	0.404394	-0.423908	-0.365550	-0.914473	-0.173532
41	2233306479													0.142438	-0.196331	-0.215765	-0.466603	0.010597	0.884403	-0.806614	0.405112	-0.430416	-0.362843	-0.914206	-0.180479
42	2233323146													0.096189	-0.145007	-0.227944	-0.474798	0.007254	0.880065	-0.802916	0.405923	-0.436522	-0.360405	-0.913878	-0.186907
43	2233339813													0.017046	-0.062836	-0.016194	-0.482981	0.003810	0.875623	-0.799170	0.406754	-0.442581	-0.357849	-0.913530	-0.193409
44	2233356480													-0.099535	0.162206	0.183326	-0.492020	-0.000436	0.870584	-0.794978	0.407837	-0.449086	-0.354861	-0.913054	-0.201011
45	2233373147													-0.498307	0.297036	0.638310	-0.502968	-0.005981	0.864284	-0.789779	0.409393	-0.456778	-0.351100	-0.912338	-0.210635
46	2233389814													-0.685203	0.399575	1.026328	-0.517228	-0.014188	0.855730	-0.783052	0.411373	-0.466479	-0.345406	-0.911357	-0.223883
47	2233406481													-0.857700	0.379267	1.500546	-0.535387	-0.025664	0.844217	-0.774480	0.413688	-0.478585	-0.336960	-0.910057	-0.241359
48	2233423148													-0.806228	0.036011	1.781394	-0.556839	-0.038793	0.829714	-0.763840	0.416339	-0.493164	-0.326310	-0.908382	-0.261465
49	2233439815													-0.399975	-0.533468	2.089322	-0.580406	-0.050020	0.812790	-0.750730	0.419560	-0.510269	-0.315490	-0.906348	-0.281066
50	2233456482													-0.220167	-0.900030	2.328208	-0.605085	-0.056164	0.794178	-0.734822	0.423343	-0.529922	-0.306447	-0.904227	-0.297429
51	2233473149													-0.346702	-0.732751	2.325252	-0.630500	-0.055692	0.774189	-0.715638	0.427927	-0.552033	-0.300553	-0.902096	-0.309663
52	2233489816													-0.214932	-0.599717	2.262120	-0.656727	-0.050485	0.752437	-0.693217	0.433252	-0.575971	-0.296917	-0.899858	-0.319525
53	2233506483													-0.171705	-0.381275	2.111937	-0.684110	-0.044233	0.728036	-0.667925	0.439013	-0.600953	-0.293035	-0.897391	-0.329878
54	2233523150													-0.219258	-0.518580	2.065687	-0.711863	-0.037032	0.701341	-0.640136	0.445025	-0.626242	-0.288923	-0.894752	-0.340502
55	2233539817													0.056034	-0.802111	1.802931	-0.738923	-0.027830	0.673215	-0.610245	0.451218	-0.651155	-0.285645	-0.891980	-0.350398
56	2233556484													0.223489	-0.849988	1.360873	-0.764806	-0.016744	0.644043	-0.578644	0.457389	-0.675253	-0.283272	-0.889109	-0.359503
57	2233573151													0.325676	-0.917081	1.033029	-0.788997	-0.002921	0.614390	-0.545460	0.463562	-0.698272	-0.282769	-0.886060	-0.367342
58	2233589818													0.314360	-0.713064	0.815220	-0.811143	0.013755	0.584686	-0.511017	0.469554	-0.719986	-0.284445	-0.882796	-0.373847
59	2233606485													0.103111	-0.168977	0.550824	-0.831784	0.031292	0.554217	-0.475462	0.475107	-0.740412	-0.286481	-0.879371	-0.380308
60	2233623152													-0.017531	0.241731	0.775148	-0.851913	0.046128	0.521648	-0.439100	0.479889	-0.759538	-0.285369	-0.876116	-0.388569
61	2233639819													0.062980	0.474243	0.842055	-0.872262	0.056086	0.485812	-0.402002	0.483463	-0.777598	-0.278485	-0.873566	-0.399160
62	2233656486													0.351754	-0.095923	0.810534	-0.891928	0.063947	0.447632	-0.363851	0.486263	-0.794456	-0.268470	-0.871469	-0.410445
63	2233673153													0.699910	-0.706706	0.638989	-0.909067	0.075661	0.409723	-0.324430	0.488466	-0.810028	-0.261424	-0.869296	-0.419501
64	2233689820													0.874474	-0.580256	0.315052	-0.922891	0.093913	0.373433	-0.283595	0.490245	-0.824157	-0.260473	-0.866510	-0.425809
65	2233706487													0.565874	0.143801	0.434732	-0.933950	0.116602	0.337849	-0.241361	0.491407	-0.836818	-0.263596	-0.863089	-0.430806
66	2233723154													0.556222	0.579276	0.163204	-0.943170	0.139686	0.301527	-0.198261	0.491651	-0.847922	-0.266689	-0.859515	-0.436016
67	2233739821													0.609067	0.757535	0.112214	-0.951308	0.159881	0.263535	-0.155034	0.490773	-0.857384	-0.266415	-0.856493	-0.442089
68	2233756488													0.538796	0.654853	-0.572586	-0.958293	0.177242	0.224187	-0.111969	0.488889	-0.865130	-0.262940	-0.854150	-0.448654
69	2233773155													0.735769	0.265897	-0.739503	-0.963542	0.193634	0.184642	-0.069162	0.486392	-0.870999	-0.258464	-0.852014	-0.455267
70	2233789822													0.766276	0.301518	-0.659715	-0.966551	0.210853	0.146014	-0.026774	0.483251	-0.875072	-0.255073	-0.849712	-0.461441
71	2233806489													0.865992	0.343434	-0.961592	-0.967132	0.229839	0.108762	0.015232	0.479337	-0.877499	-0.253817	-0.847001	-0.467083
72	2233823156													0.988124	0.789050	-0.280498	-0.965890	0.248764	0.071927	0.056860	0.474721	-0.878298	-0.252634	-0.844249	-0.472673
73	2233839823													0.765646	0.986277	-0.686310	-0.963642	0.265042	0.033869	0.098126	0.468937	-0.877764	-0.248527	-0.842527	-0.477894
74	2233856490													0.713731	0.531645	-0.839157	-0.960595	0.277896	-0.005535	0.138814	0.462392	-0.875742	-0.240806	-0.842002	-0.482748
75	2233873157													0.671010	0.261549	-0.709537	-0.955800	0.290631	-0.044495	0.179043	0.455293	-0.872154	-0.233216	-0.841571	-0.487204
76	2233889824													0.837280	-0.077653	-0.902004	-0.948664	0.305578	-0.081594	0.218783	0.447707	-0.867002	-0.228407	-0.840346	-0.491579
77	2233906491													0.642790	-0.389971	-1.372957	-0.939396	0.322312	-0.116835	0.257783	0.439398	-0.860510	-0.226015	-0.838477	-0.495856
78	2233923158													0.583232	-0.531930	-1.773623	-0.928222	0.340578	-0.149700	0.295561	0.430721	-0.852715	-0.225937	-0.835755	-0.500466
79	2233939825													0.506515	-0.744165	-2.074378	-0.915782	0.358889	-0.180395	0.331509	0.421702	-0.843960	-0.226816	-0.832686	-0.505162
80	2233956492													0.152230	-0.954837	-2.479320	-0.902403	0.377093	-0.208496	0.365170	0.412416	-0.834604	-0.228736	-0.829285	-0.509868
81	2233973159													0.020138	-1.188890	-2.762520	-0.888310	0.395359	-0.233661	0.396474	0.403440	-0.824648	-0.231763	-0.825183	-0.515130
82	2233989826													-0.094255	-1.276285	-3.096926	-0.873970	0.413483	-0.255358	0.424849	0.394927	-0.814577	-0.235966	-0.820405	-0.520822
83	2234006493													-0.347574	-1.127742	-3.340973	-0.860213	0.430131	-0.273901	0.449794	0.386955	-0.804954	-0.240248	-0.815631	-0.526334
84	2234023160													-0.470971	-0.807388	-3.242367	-0.847851	0.443663	-0.290365	0.471255	0.379507	-0.796174	-0.243037	-0.811873	-0.530844
85	2234039827													-0.716844	-0.649460	-3.275357	-0.837025	0.454338	-0.304904	0.489472	0.372680	-0.788370	-0.244555	-0.809127	-0.534328
86	2234056494													-0.550796	-0.822650	-3.284141	-0.827822	0.463339	-0.316271	0.504098	0.367002	-0.781789	-0.246162	-0.806614	-0.537381
87	2234073161													-0.610900	-0.900061	-3.697508	-0.820536	0.470871	-0.324039	0.514897	0.362735	-0.776727	-0.248198	-0.804179	-0.540087
88	2234089828													-0.822612	-0.829344	-4.108840	-0.815784	0.476067	-0.328416	0.521587	0.360244	-0.773416	-0.249888	-0.802237	-0.542191
89	2234106495													-1.045010	-1.018274	-4.691820	-0.814055	0.478298	-0.329463	0.523838	0.359684	-0.772154	-0.250817	-0.801161	-0.543353
90	2234123162													-0.924215	-1.375660	-4.860096	-0.815177	0.478858	-0.325855	0.521336	0.361463	-0.773016	-0.252381	-0.800025	-0.544302
91	2234139829													-0.704784	-1.125200	-4.652956	-0.818636	0.479188	-0.316566	0.514015	0.365463	-0.776032	-0.256172	-0.798007	-0.545491
92	2234156496													-0.712395	-0.675214	-4.542554	-0.824214	0.479166	-0.301781	0.501927	0.371427	-0.781096	-0.262185	-0.795262	-0.546642
93	2234173163													-0.796817	-0.409558	-4.725976	-0.832438	0.476186	-0.283361	0.485053	0.378965	-0.788105	-0.267901	-0.793493	-0.546441
94	2234189830													-0.622537	-0.478167	-4.769447	-0.843227	0.469279	-0.262192	0.463501	0.387664	-0.796796	-0.272277	-0.793406	-0.544400
95	2234206497													-0.379538	-0.625293	-4.728642	-0.855492	0.460454	-0.236886	0.437339	0.397556	-0.806650	-0.277250	-0.793682	-0.541480
96	2234223164													0.287376	-0.556420	-4.154629	-0.868159	0.451357	-0.206342	0.406564	0.408380	-0.817270	-0.284615	-0.793412	-0.538045
97	2234239831													0.525870	-0.632120	-4.128412	-0.880836	0.441446	-0.171036	0.371164	0.419670	-0.828321	-0.293880	-0.793097	-0.533509
