sep=,
DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-03-15 15:49:47.563 +0530,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 739730832, 0.4519634, 0.48712018, 0.60012007, -0.44530743, -0.06335944, 0.0055724015, 0.021128654, 0
2, 739747499, 0.4518303, 0.48691308, 0.6003943, -0.44529957, -0.04145942, -0.036107846, 0.0033369064, 0
3, 739764166, 0.451867, 0.48652086, 0.600518, -0.445524, -0.0077659576, -0.040361747, -0.033943176, 0
4, 739780833, 0.45213667, 0.4861243, 0.6005676, -0.44561663, 0.038384326, -0.018585997, -0.014810562, 0
5, 739797500, 0.45219544, 0.48640075, 0.6001858, -0.44576988, 0.016743133, -0.0141061265, -0.023114204, 0
6, 739814167, 0.45229176, 0.4865737, 0.5999726, -0.44577038, 0.006886658, -0.039866664, -0.05320072, 0
7, 739830834, 0.45248434, 0.4865059, 0.599959, -0.44566733, 0.04886865, -0.022478921, 3.452301E-4, 0
8, 739847501, 0.45274165, 0.48640403, 0.60001373, -0.44544333, 0.0011282935, 0.0046783495, 0.04951477, 0
9, 739864168, 0.45284483, 0.48646095, 0.6000047, -0.44528857, -0.07448904, 0.0021743341, 0.034251213, 0
10, 739880835, 0.45281973, 0.48654634, 0.5999865, -0.44524515, -0.03622385, -0.015522975, -0.036548615, 0
11, 739897502, 0.4528429, 0.48651078, 0.60008466, -0.44512808, 0.006610843, 0.010770866, -0.022956848, 0
12, 739914169, 0.4528493, 0.48649633, 0.60017574, -0.44501472, 0.003976966, -0.02911815, -0.0083351135, 0
13, 739930836, 0.45290244, 0.48642206, 0.6003085, -0.4448627, -0.022935111, 0.04143416, 0.004746437, 0
14, 739947503, 0.45286572, 0.48641765, 0.60040355, -0.44477648, -0.046793107, 0.0013059862, -0.0240736, 0
15, 739964170, 0.4528441, 0.4863405, 0.6005629, -0.44466782, -0.01896731, 0.0011848422, -0.026021957, 0
16, 739980837, 0.452766, 0.4863344, 0.6006799, -0.444596, 0.018805932, -0.025690133, -0.01401329, 0
17, 739997504, 0.45274568, 0.48627365, 0.60080695, -0.44451165, -0.016624894, -0.021963054, 0.01023674, 0
18, 740014171, 0.45271054, 0.4862412, 0.6009132, -0.44443905, -0.031727888, -0.043211535, 0.004702568, 0
19, 740030838, 0.4526452, 0.48621807, 0.60100883, -0.4444016, -0.043798704, -0.045585245, 0.007833481, 0
20, 740047505, 0.45261455, 0.48618284, 0.60109526, -0.44435462, -0.0076293913, -0.0051597967, 0.0076589584, 0
21, 740064172, 0.4525634, 0.48618537, 0.6011753, -0.44429573, -0.023542173, -0.0013126916, -0.013978004, 0
22, 740080839, 0.4525324, 0.486119, 0.60131896, -0.4442053, -0.0043710195, 9.82116E-4, -0.018198013, 0
23, 740097506, 0.4524187, 0.48615572, 0.6014096, -0.4441584, 0.008086252, -0.048494264, 0.0034160614, 0
24, 740114173, 0.45232195, 0.48614374, 0.60153854, -0.4440953, 0.011670282, -0.053368412, 0.016132355, 0
25, 740130840, 0.4522728, 0.48608857, 0.6016615, -0.44403926, 0.003313356, -0.05690528, 0.0019569397, 0
26, 740147507, 0.45223114, 0.48602262, 0.60179573, -0.4439721, -0.05333153, -0.05645043, -0.019885063, 0
27, 740164174, 0.45217752, 0.48600516, 0.60188055, -0.44393054, -0.066507176, -0.02536358, 0.011915207, 0
28, 740180841, 0.4521418, 0.48597884, 0.6019491, -0.44390297, -0.041873142, -0.020733286, 0.0035171509, 0
29, 740197508, 0.45215356, 0.48590472, 0.60205644, -0.44382638, -0.0010873906, -0.034889925, -0.028355598, 0
30, 740214175, 0.45213416, 0.48585325, 0.60216457, -0.44375578, 0.0046743266, -0.030363565, -0.047016144, 0
31, 740230842, 0.45206952, 0.48582843, 0.6022597, -0.44371983, 0.009682357, -0.038249772, 0.009441376, 0
32, 740247509, 0.45204914, 0.4857504, 0.60237616, -0.44366783, -0.020006422, -0.022801898, 0.033766747, 0
33, 740264176, 0.45198658, 0.48572618, 0.6024693, -0.44363168, -0.062330835, -0.071720615, 0.02283287, 0
34, 740280843, 0.4519385, 0.48571193, 0.60253584, -0.4436057, -0.03464473, -0.082860276, -0.009202957, 0
35, 740297510, 0.45187485, 0.48571828, 0.60258627, -0.4435953, 0.029354403, -0.07855587, 0.0050172806, 0
36, 740314177, 0.45184538, 0.4856527, 0.6026934, -0.44355166, 0.029078588, -0.05171084, -0.013863564, 0
37, 740330844, 0.45182398, 0.48556, 0.6028263, -0.44349435, 0.011556067, -0.029605186, -0.015229225, 0
38, 740347511, 0.45176297, 0.48549506, 0.6029247, -0.44349357, -0.013726601, -0.050539855, -2.5367737E-4, 0
39, 740364178, 0.4516715, 0.48545676, 0.6030198, -0.44349948, -0.010221918, -0.05753447, 0.034653664, 0
40, 740380845, 0.45157734, 0.4854331, 0.60309255, -0.44352242, -0.031317294, -0.068377756, 0.018978119, 0
41, 740397512, 0.45153466, 0.4853685, 0.60320026, -0.44349018, -0.014037284, -0.121139325, 0.002875328, 0
42, 740414179, 0.45152393, 0.4853105, 0.603301, -0.4434276, -0.034225423, -0.06696247, -8.382797E-4, 0
43, 740430846, 0.4515262, 0.48524952, 0.6034091, -0.44334477, -0.0030160837, -0.081767745, -0.009665489, 0
44, 740447513, 0.4515196, 0.4851953, 0.60352117, -0.4432582, -0.018474463, -0.045732986, -0.01448822, 0
45, 740464180, 0.45148063, 0.48516414, 0.60360396, -0.44321945, 0.005256131, -0.054328177, 0.0020065308, 0
46, 740480847, 0.4514, 0.48518077, 0.603641, -0.4432327, -0.027706219, -0.062164765, 0.004307747, 0
47, 740497514, 0.45133364, 0.4851719, 0.6037032, -0.44322515, 0.005592294, -0.12845804, -0.02286911, 0
48, 740514181, 0.45123255, 0.48518333, 0.6037576, -0.4432416, 0.060668793, -0.11151732, 0.0020198822, 0
49, 740530848, 0.45117736, 0.48514146, 0.603833, -0.44324088, 0.019512234, -0.06718755, 0.04947567, 0
50, 740547515, 0.45113882, 0.48510882, 0.60390484, -0.44321796, -0.039128847, -0.0756911, 0.013568878, 0
51, 740564182, 0.45105794, 0.4851237, 0.60392404, -0.44325787, -0.042945333, -0.075525925, 0.02503395, 0
52, 740580849, 0.4509668, 0.48516023, 0.6039427, -0.4432852, -0.08462513, -0.05766433, -0.0073099136, 0
53, 740597516, 0.4508357, 0.48525715, 0.6038977, -0.4433739, -0.03328287, -0.08133793, -0.018834114, 0
54, 740614183, 0.45069, 0.4853598, 0.6038524, -0.44347104, 0.02134437, -0.09286583, -0.033426285, 0
55, 740630850, 0.4505556, 0.4854381, 0.6038269, -0.4435569, 0.05498195, -0.096067436, -0.00374794, 0
56, 740647517, 0.4504279, 0.48546872, 0.60387504, -0.44358763, 0.11391986, -0.13424568, -0.009407043, 0
57, 740664184, 0.45034957, 0.48546356, 0.60394406, -0.44357866, 0.022593137, -0.08787524, 0.01300621, 0
58, 740680851, 0.450206, 0.4855122, 0.6039751, -0.4436289, -0.07875144, -0.096908286, -0.0052986145, 0
59, 740697518, 0.4500153, 0.48562807, 0.6039533, -0.44372544, -0.0041823746, -0.112385, 0.016117096, 0
60, 740714185, 0.44983268, 0.48572648, 0.60394377, -0.44381562, 0.07209679, -0.106586844, 0.008497238, 0
61, 740730852, 0.44965202, 0.48575446, 0.60399437, -0.44389924, 0.09413226, -0.09591634, -0.043293, 0
62, 740747519, 0.4494438, 0.4857929, 0.60405093, -0.44399127, -0.054970104, -0.030141393, -0.026978493, 0
63, 740764186, 0.4490274, 0.4860286, 0.60393065, -0.44431838, -0.16212267, -0.055650704, 0.008787155, 0
64, 740780853, 0.44846585, 0.48645028, 0.6036208, -0.4448443, 0.029528074, -0.08882785, 0.047471046, 0
65, 740797520, 0.44804937, 0.4867259, 0.60341257, -0.44524503, 0.19106558, -0.14009859, 0.03167343, 0
66, 740814187, 0.44781706, 0.48680067, 0.60338, -0.44544086, 0.08325053, -0.16993466, 0.0023651123, 0
67, 740830854, 0.4476827, 0.48682374, 0.60339624, -0.44552878, -0.036584377, -0.1324064, -0.02364254, 0
68, 740847521, 0.4475062, 0.48694178, 0.60335565, -0.44563213, -0.14159992, -0.15006794, 4.749298E-4, 0
69, 740864188, 0.44734326, 0.4871238, 0.6032399, -0.44575354, -0.09048878, -0.18886755, 0.03585148, 0
70, 740880855, 0.44722992, 0.48728645, 0.60314715, -0.44581494, 0.06427987, -0.15363587, 0.009614944, 0
71, 740897522, 0.44719988, 0.48737752, 0.6031117, -0.44579336, 0.08720648, -0.12623855, -0.031554222, 0
72, 740914189, 0.4472221, 0.48739925, 0.6031357, -0.445715, 0.03947909, -0.121179335, -0.036528587, 0
73, 740930856, 0.44725215, 0.48740163, 0.6031862, -0.44561386, 0.087652616, -0.15024608, -0.050043106, 0
74, 740947523, 0.44731537, 0.4873063, 0.60331, -0.4454871, 0.14869893, -0.06532278, 0.013408661, 0
75, 740964190, 0.44741824, 0.48714405, 0.6034772, -0.44533497, 0.22051342, -0.0461181, 1.039505E-4, 0
76, 740980857, 0.44748908, 0.48701307, 0.603625, -0.44520643, 0.085372336, -0.08826705, 0.023722649, 0
77, 740997524, 0.44750983, 0.48683047, 0.6038141, -0.44512904, 0.1283655, -0.122319475, -0.0634222, 0
78, 741014191, 0.4474722, 0.48665833, 0.60399574, -0.4451085, 0.109440215, -0.08639469, -0.06468201, 0
79, 741030858, 0.4474134, 0.4864521, 0.6042226, -0.44508526, 0.091708034, -0.090744026, -0.05377102, 0
80, 741047525, 0.44735208, 0.48625377, 0.6044913, -0.4449987, 0.07478207, -0.2350954, -0.024033546, 0
81, 741064192, 0.44738287, 0.4859812, 0.6048112, -0.44483057, 0.13188337, -0.1703837, -0.03454113, 0
82, 741080859, 0.44760296, 0.48556578, 0.60520935, -0.4445214, 0.01685757, 0.015785603, -0.14954376, 0
83, 741097526, 0.44799802, 0.48514494, 0.6056147, -0.4440306, -0.51657933, 0.008628047, 0.019086838, 0
84, 741114193, 0.4484466, 0.48508793, 0.6056367, -0.44361007, -0.8848554, -0.22949417, 0.08299351, 0
85, 741130860, 0.4488224, 0.48558086, 0.6051674, -0.44333062, -0.6658026, -0.27458233, 0.010293007, 0
86, 741147527, 0.44926965, 0.48624408, 0.60454476, -0.4430004, -0.03727056, -0.16503772, -0.12903881, 0
87, 741164194, 0.44982782, 0.48670897, 0.60415375, -0.4424566, 0.5136062, -0.08588396, -0.26845646, 0
88, 741180861, 0.450179, 0.4870028, 0.60397613, -0.4420182, 0.83461237, -0.03773368, -0.36522198, 0
89, 741197528, 0.4499802, 0.48725134, 0.60393614, -0.4420014, 0.76864696, -0.20331074, -0.16816139, 0
90, 741214195, 0.44934452, 0.48725775, 0.60416996, -0.44232136, 0.9564126, -0.23930973, 0.033733368, 0
91, 741230862, 0.44862112, 0.4868022, 0.6049959, -0.44242868, 0.9909977, -0.24628133, 0.08891106, 0
92, 741247529, 0.44777885, 0.48593998, 0.6062903, -0.4424574, 0.71126765, -0.1935743, 0.20061493, 0
93, 741264196, 0.4468637, 0.48482773, 0.60784245, -0.4424733, 0.4833919, -0.15328094, 0.036024094, 0
94, 741280863, 0.44568613, 0.4837473, 0.6093384, -0.44278592, 0.55121714, -0.2147394, -0.28826523, 0
95, 741297530, 0.4444433, 0.4823825, 0.61130553, -0.4428124, 0.07303509, -0.11183672, -0.14894485, 0
96, 741314197, 0.44332066, 0.4809822, 0.6133135, -0.4426845, -0.5542625, -0.21497118, -0.006790161, 0
97, 741330864, 0.44297248, 0.47961703, 0.61522716, -0.44185808, -1.1792175, -0.12671642, -0.09783554, 0
98, 741347531, 0.44274628, 0.47899446, 0.6165063, -0.44097653, -1.556434, -0.49519607, 0.06118107, 0
99, 741364198, 0.44259247, 0.47919422, 0.61687756, -0.4403941, -1.6668345, -0.49385568, 0.3214426, 0
100, 741380865, 0.44269362, 0.4800202, 0.6165474, -0.43985495, -1.6071522, -0.442825, 0.13138676, 0
101, 741397532, 0.44317904, 0.4810057, 0.6158306, -0.43929324, -1.0019053, -0.34000444, 0.14009476, 0
102, 741414199, 0.44409522, 0.481844, 0.6151702, -0.43837368, -0.31696618, -0.25030568, 0.036147118, 0
103, 741430866, 0.44520086, 0.48262146, 0.61460906, -0.43718246, 0.2291589, 0.046320602, 0.10911083, 0
104, 741447533, 0.44636694, 0.48337212, 0.6142074, -0.4357264, 0.43803847, 0.08712647, 0.019551277, 0
105, 741464200, 0.44757298, 0.48398003, 0.61394554, -0.4341806, 0.6110283, 0.15219668, -0.047096252, 0
106, 741480867, 0.44876978, 0.48438525, 0.6139145, -0.43253413, 0.54372007, 4.8211744E-4, 0.022194862, 0
107, 741497534, 0.4495547, 0.48503417, 0.6138002, -0.43115175, 0.30329904, -0.12648241, 0.1760931, 0
108, 741514201, 0.44988576, 0.486244, 0.6132137, -0.43027738, -0.09310477, -0.41312504, 0.0731554, 0
109, 741530868, 0.44954494, 0.48813796, 0.6121071, -0.43006474, -0.54207414, -0.34547928, 0.14040089, 0
110, 741547535, 0.44882748, 0.4903443, 0.61071134, -0.43028876, -0.10302293, -0.35712206, 0.18982697, 0
111, 741564202, 0.44838592, 0.4923682, 0.6094857, -0.43017566, 0.28069696, -0.35368043, -0.02202034, 0
112, 741580869, 0.44854125, 0.49381477, 0.60875064, -0.42939538, 0.33815587, -0.093487866, -0.019444466, 0
113, 741597536, 0.4489978, 0.494849, 0.6083514, -0.4282921, 0.3681587, -0.14818774, 0.034671783, 0
114, 741614203, 0.44979173, 0.4956184, 0.60808885, -0.4269401, 0.11193998, -0.10404148, -0.1279726, 0
115, 741630870, 0.4500392, 0.4969193, 0.6075052, -0.42599702, -0.35520276, -0.31992885, -0.09511185, 0
116, 741647537, 0.4498061, 0.49891913, 0.6063168, -0.4255988, -0.7232307, -0.30463272, 0.12321949, 0
117, 741664204, 0.44930133, 0.5014291, 0.6045549, -0.42568877, -0.356899, 0.15891413, 0.27615452, 0
118, 741680871, 0.44890854, 0.5038886, 0.60261, -0.4259562, 0.7374064, 0.3868609, 0.041360855, 0
119, 741697538, 0.44929639, 0.50526637, 0.60133374, -0.42571872, 1.1726862, 0.33015522, 0.052866936, 0
120, 741714205, 0.45058087, 0.5052512, 0.60095346, -0.42491552, 0.709842, 0.31934592, 0.30237198, 0
121, 741730872, 0.45196256, 0.5044241, 0.6010367, -0.4243127, 0.30043852, 0.19796409, 0.09871292, 0
122, 741747539, 0.45337078, 0.5032911, 0.6012275, -0.42388523, 0.31217965, -0.0772463, 0.120586395, 0
123, 741764206, 0.45470843, 0.5021623, 0.60139227, -0.42355734, 0.46946594, -0.1667163, 0.0824976, 0
124, 741780873, 0.45563844, 0.5011817, 0.60162586, -0.42338756, 0.62882954, -0.2020765, -0.06282711, 0
125, 741797540, 0.456145, 0.500295, 0.60197604, -0.42339307, 0.6189221, -0.40522364, -0.21365261, 0
126, 741814207, 0.45631313, 0.49959388, 0.60228795, -0.42359614, 0.3266595, -0.3814311, -0.357687, 0
127, 741830874, 0.4561065, 0.49914286, 0.60248464, -0.4240706, -0.090462625, -0.30738777, -0.16481304, 0
128, 741847541, 0.45533115, 0.49918893, 0.60226834, -0.425155, -0.29574206, -0.32549185, 0.222291, 0
129, 741864208, 0.45440385, 0.49933007, 0.60198843, -0.4263762, 0.034741513, -0.5736071, 0.3913231, 0
130, 741880875, 0.45335394, 0.49952248, 0.6018257, -0.4274968, 0.55669254, -0.1438954, -0.060962677, 0
131, 741897542, 0.4523481, 0.49955636, 0.6018986, -0.428419, 0.68473303, -0.17994134, -0.5115166, 0
132, 741914209, 0.45174864, 0.4989749, 0.6025559, -0.42880514, -0.023701314, 0.225888, -0.24120808, 0
133, 741930876, 0.45072734, 0.4983672, 0.60321283, -0.42966202, 0.09515438, -0.16756633, 0.25497055, 0
134, 741947543, 0.45001945, 0.49753267, 0.6038229, -0.43051362, 0.31381106, 0.014517614, 0.13893127, 0
135, 741964210, 0.44903395, 0.49682695, 0.60426986, -0.43172863, 0.1498565, 0.1354846, 0.058546066, 0
136, 741980877, 0.44775897, 0.49594995, 0.6048435, -0.4332551, 0.65882164, -0.03108663, 0.26932335, 0
137, 741997544, 0.44678602, 0.49466652, 0.6056165, -0.4346449, 0.57414263, 0.09609761, -0.289814, 0
