sep=,
DeviceTag:,Xsens DOT1,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-03-15 15:49:47.562 +0530,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 745430512, 0.76629466, 0.01429291, -0.63994324, 0.05532656, -0.026796522, 0.010382987, -0.003926277, 0
2, 745447179, 0.76633894, 0.014238247, -0.63989556, 0.055278882, -0.01813763, -0.0063291676, -0.0092048645, 0
3, 745463846, 0.76637477, 0.014241872, -0.6398392, 0.055433962, -0.044948902, -0.02525037, -0.00834465, 0
4, 745480513, 0.7664423, 0.0140871545, -0.63975114, 0.05555536, -0.022829166, 0.010699929, -0.009821892, 0
5, 745497180, 0.76641214, 0.013983625, -0.63978934, 0.055558454, -0.0069382894, 0.025394117, 0.025841713, 0
6, 745513847, 0.76632947, 0.013991486, -0.6398845, 0.05560207, -0.021227472, 0.050105765, 0.03802967, 0
7, 745530514, 0.76627713, 0.014047366, -0.63994473, 0.055612642, -0.009307526, 0.08639345, 0.047704697, 0
8, 745547181, 0.7662441, 0.014119784, -0.6399913, 0.05551394, -0.021570342, 0.081201926, 0.0099983215, 0
9, 745563848, 0.7662344, 0.0142544685, -0.6400079, 0.05542085, -0.029838532, 0.06838673, 0.018538475, 0
10, 745580515, 0.76624024, 0.014353833, -0.64001244, 0.055263337, -0.047023103, 0.025612922, 0.012066841, 0
11, 745597182, 0.7662175, 0.0144604, -0.6400497, 0.055119827, -0.020339679, -0.0052709104, -0.004137039, 0
12, 745613849, 0.7661533, 0.014506502, -0.6401364, 0.05499429, -0.040331572, -0.012069441, 0.028664589, 0
13, 745630516, 0.7660798, 0.014521619, -0.64023083, 0.054913245, -0.052247494, 0.014800029, -4.644394E-4, 0
14, 745647183, 0.7659691, 0.014548886, -0.6403654, 0.054880213, -0.054778554, 0.016713893, -0.026574135, 0
15, 745663850, 0.76585066, 0.014576306, -0.64050734, 0.054869384, -0.07433862, 0.029745376, -5.559921E-4, 0
