// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	682733566													-0.104010	-0.076979	0.088526	-0.156440	-0.402218	-0.902080	0.024716	-0.914633	0.403529	-0.987378	0.040832	0.153026
2	682750233													-0.011118	0.011229	0.076097	-0.156259	-0.401885	-0.902259	0.022691	-0.914700	0.403496	-0.987455	0.042577	0.152049
3	682766900													-0.012291	0.048618	0.064468	-0.156717	-0.401531	-0.902337	0.022233	-0.914829	0.403228	-0.987393	0.043131	0.152297
4	682783567													0.017007	0.023945	0.059917	-0.157343	-0.401145	-0.902400	0.022496	-0.915001	0.402825	-0.987288	0.043081	0.152993
5	682800234													0.097246	0.042361	0.066257	-0.158527	-0.400592	-0.902438	0.022909	-0.915242	0.402252	-0.987089	0.043094	0.154267
6	682816901													-0.019332	-0.128478	0.061696	-0.160305	-0.400533	-0.902151	0.023740	-0.915270	0.402140	-0.986782	0.043048	0.156231
7	682833568													-0.059758	-0.115553	0.061293	-0.162040	-0.399711	-0.902205	0.023565	-0.915595	0.401411	-0.986503	0.043784	0.157783
8	682850235													0.000041	0.203363	0.081781	-0.163670	-0.398860	-0.902288	0.023127	-0.915921	0.400691	-0.986244	0.044714	0.159133
9	682866902													0.075686	0.327985	0.126470	-0.165334	-0.398581	-0.902107	0.023473	-0.916027	0.400429	-0.985958	0.045030	0.160806
10	682883569													0.140227	0.273592	0.159571	-0.166985	-0.399496	-0.901398	0.024498	-0.915634	0.401267	-0.985655	0.044922	0.162684
11	682900236													0.022615	0.069791	0.137960	-0.168747	-0.400699	-0.900536	0.025705	-0.915116	0.402370	-0.985324	0.044751	0.164723
12	682916903													-0.003704	0.006643	0.119458	-0.170386	-0.401291	-0.899963	0.026470	-0.914853	0.402919	-0.985022	0.044830	0.166500
13	682933570													0.066583	0.092165	0.110546	-0.171918	-0.401327	-0.899656	0.026868	-0.914824	0.402959	-0.984745	0.045104	0.168058
14	682950237													0.091395	0.160405	0.107274	-0.173519	-0.401596	-0.899228	0.027209	-0.914686	0.403249	-0.984455	0.045504	0.169642
15	682966904													0.052151	0.036863	0.121510	-0.175171	-0.401897	-0.898774	0.027512	-0.914530	0.403581	-0.984154	0.045968	0.171256
16	682983571													0.035335	0.061486	0.143597	-0.176863	-0.402219	-0.898298	0.027567	-0.914353	0.403980	-0.983849	0.046685	0.172803
17	683000238													0.055167	0.128454	0.166183	-0.178582	-0.402498	-0.897833	0.027410	-0.914182	0.404376	-0.983543	0.047604	0.174289
18	683016905													0.130683	0.150602	0.202657	-0.180138	-0.402993	-0.897300	0.027105	-0.913910	0.405011	-0.983268	0.048637	0.175553
19	683033572													0.117614	0.102230	0.177696	-0.181562	-0.403390	-0.896834	0.026616	-0.913674	0.405576	-0.983019	0.049767	0.176625
20	683050239													0.084378	0.034696	0.133290	-0.182827	-0.403730	-0.896424	0.025928	-0.913455	0.406113	-0.982803	0.051006	0.177472
21	683066906													0.050835	0.055676	0.114895	-0.183944	-0.403638	-0.896237	0.024946	-0.913419	0.406256	-0.982620	0.052371	0.178087
22	683083573													0.117120	0.122214	0.080144	-0.184950	-0.403503	-0.896091	0.023769	-0.913391	0.406388	-0.982460	0.053862	0.178523
23	683100240													0.119072	0.073842	0.116188	-0.185903	-0.403734	-0.895789	0.022557	-0.913195	0.406898	-0.982309	0.055437	0.178873
24	683116907													0.038619	-0.019137	0.122469	-0.186783	-0.403855	-0.895552	0.021167	-0.913038	0.407325	-0.982173	0.057125	0.179088
25	683133574													-0.012052	-0.021887	0.119467	-0.187524	-0.403678	-0.895477	0.019661	-0.913009	0.407465	-0.982063	0.058803	0.179148
26	683150241													-0.093032	-0.036172	0.141035	-0.188221	-0.403030	-0.895622	0.017978	-0.913183	0.407154	-0.981962	0.060534	0.179126
27	683166908													-0.018641	0.055775	0.074229	-0.188742	-0.401787	-0.896071	0.016068	-0.913613	0.406267	-0.981895	0.062281	0.178893
28	683183575													0.019225	0.083271	0.059003	-0.189289	-0.401013	-0.896302	0.014269	-0.913832	0.405842	-0.981818	0.064033	0.178700
29	683200242													0.035043	0.046984	0.150328	-0.189824	-0.400678	-0.896339	0.012508	-0.913851	0.405857	-0.981738	0.065830	0.178483
30	683216909													-0.026729	0.012905	0.139197	-0.190408	-0.400383	-0.896347	0.010690	-0.913843	0.405927	-0.981647	0.067710	0.178283
31	683233576													-0.040824	0.046658	0.112860	-0.190995	-0.400071	-0.896362	0.008779	-0.913832	0.405997	-0.981552	0.069674	0.178050
32	683250243													-0.121229	0.057596	0.050682	-0.191539	-0.399606	-0.896453	0.006804	-0.913882	0.405922	-0.981462	0.071650	0.177762
33	683266910													-0.056793	0.056698	0.058169	-0.192024	-0.399058	-0.896593	0.004786	-0.913965	0.405765	-0.981379	0.073626	0.177413
34	683283577													-0.080142	0.044914	0.092832	-0.192597	-0.398517	-0.896711	0.002744	-0.914035	0.405626	-0.981274	0.075662	0.177134
35	683300244													-0.157762	-0.073944	0.106784	-0.193263	-0.397822	-0.896876	0.000660	-0.914162	0.405348	-0.981147	0.077747	0.176937
36	683316911													-0.179048	-0.064221	0.042557	-0.194034	-0.396673	-0.897219	-0.001473	-0.914482	0.404624	-0.980994	0.079832	0.176856
37	683333578													-0.194435	0.008887	0.111073	-0.194869	-0.395359	-0.897618	-0.003554	-0.914871	0.403730	-0.980823	0.081865	0.176875
38	683350245													-0.099464	0.175958	0.108309	-0.195836	-0.393831	-0.898079	-0.005667	-0.915342	0.402637	-0.980620	0.083940	0.177025
39	683366912													-0.115209	0.143835	0.165346	-0.196941	-0.392919	-0.898237	-0.007678	-0.915534	0.402168	-0.980385	0.086100	0.177289
40	683383579													-0.072227	0.034871	0.151229	-0.198029	-0.391735	-0.898514	-0.009816	-0.915829	0.401448	-0.980147	0.088319	0.177516
41	683400246													-0.117887	-0.016158	0.085953	-0.199142	-0.390411	-0.898844	-0.012051	-0.916171	0.400607	-0.979896	0.090610	0.177743
42	683416913													-0.105963	0.005148	0.017385	-0.200279	-0.388727	-0.899322	-0.014414	-0.916651	0.399428	-0.979633	0.092959	0.177983
43	683433580													-0.139495	0.040280	0.065701	-0.201526	-0.386937	-0.899815	-0.016754	-0.917167	0.398151	-0.979340	0.095314	0.178350
44	683450247													-0.173838	0.032289	0.132826	-0.202838	-0.385049	-0.900330	-0.019045	-0.917718	0.396776	-0.979027	0.097628	0.178815
45	683466914													-0.199979	0.054511	0.101102	-0.204174	-0.382994	-0.900905	-0.021296	-0.918335	0.395230	-0.978703	0.099881	0.179344
46	683483581													-0.106309	0.181453	0.112824	-0.205565	-0.381014	-0.901427	-0.023545	-0.918907	0.393772	-0.978360	0.102170	0.179924
47	683500248													-0.053980	0.170794	0.094324	-0.207180	-0.379694	-0.901615	-0.025712	-0.919179	0.392999	-0.977965	0.104604	0.180673
48	683516915													-0.119863	0.105016	0.171125	-0.208863	-0.378266	-0.901827	-0.027998	-0.919474	0.392152	-0.977544	0.107155	0.181454
49	683533582													-0.105367	0.143988	0.126172	-0.210435	-0.376955	-0.902010	-0.030352	-0.919706	0.391432	-0.977136	0.109749	0.182098
50	683550249													-0.134829	0.058596	0.100698	-0.212050	-0.375338	-0.902306	-0.032743	-0.920056	0.390417	-0.976710	0.112332	0.182808
51	683566916													-0.236291	0.006254	0.120997	-0.213754	-0.373456	-0.902685	-0.035134	-0.920505	0.389148	-0.976255	0.114897	0.183641
52	683583583													-0.139325	0.180038	0.219293	-0.215393	-0.371108	-0.903264	-0.037669	-0.921129	0.387430	-0.975801	0.117474	0.184425
53	683600250													-0.105706	0.192221	0.111372	-0.217143	-0.369268	-0.903598	-0.040092	-0.921530	0.386231	-0.975316	0.120094	0.185299
