// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	674690937													0.009404	-0.047418	0.068447	0.171437	0.553290	0.815156	-0.061418	0.831798	-0.551669	-0.983279	0.044511	0.176583
2	674707604													0.004710	-0.000460	0.018654	0.171956	0.554136	0.814472	-0.061129	0.831196	-0.552609	-0.983206	0.045236	0.176803
3	674724271													0.016350	-0.021659	0.008914	0.172127	0.555290	0.813650	-0.061369	0.830418	-0.553751	-0.983161	0.045383	0.177015
4	674740938													0.039180	-0.015162	0.052147	0.172272	0.556921	0.812503	-0.061943	0.829327	-0.555319	-0.983100	0.045337	0.177368
5	674757605													-0.005587	-0.036699	0.030967	0.172217	0.558976	0.811102	-0.062965	0.827967	-0.557230	-0.983045	0.044894	0.177787
6	674774272													-0.016052	-0.065768	-0.001881	0.172017	0.560864	0.809840	-0.063929	0.826717	-0.558974	-0.983017	0.044381	0.178065
7	674790939													0.029728	-0.048711	-0.013154	0.171958	0.563364	0.808116	-0.064572	0.825017	-0.561407	-0.982986	0.044357	0.178246
8	674807606													0.051361	0.014627	-0.000681	0.172025	0.565794	0.806402	-0.065063	0.823344	-0.563801	-0.982942	0.044521	0.178448
9	674824273													0.069318	0.107627	0.007029	0.171943	0.567720	0.805065	-0.065599	0.822021	-0.565666	-0.982920	0.044451	0.178582
10	674840940													0.118061	0.146869	0.028819	0.171625	0.570577	0.803110	-0.066297	0.820047	-0.568443	-0.982929	0.044315	0.178568
11	674857607													0.112965	0.152966	-0.004558	0.171106	0.573254	0.801313	-0.067191	0.818203	-0.570989	-0.982959	0.043859	0.178517
12	674874274													0.069860	0.129321	-0.003811	0.170553	0.576510	0.799092	-0.068168	0.815934	-0.574112	-0.982988	0.043444	0.178460
13	674890941													0.066592	0.130287	0.030293	0.170142	0.579726	0.796850	-0.069142	0.813670	-0.577200	-0.982991	0.043110	0.178523
14	674907608													0.093420	0.125090	0.071258	0.169794	0.582916	0.794593	-0.070055	0.811401	-0.580276	-0.982986	0.042863	0.178608
15	674924275													0.120144	0.123021	0.098635	0.169575	0.585947	0.792408	-0.070890	0.809222	-0.583210	-0.982964	0.042725	0.178762
16	674940942													0.159033	0.128275	0.094284	0.169413	0.588856	0.790283	-0.071653	0.807111	-0.586035	-0.982937	0.042656	0.178928
17	674957609													0.154655	0.136602	0.050350	0.169389	0.591738	0.788133	-0.072416	0.805000	-0.588838	-0.982885	0.042669	0.179210
18	674974276													0.135889	0.111090	0.005177	0.169480	0.594359	0.786138	-0.073218	0.803067	-0.591373	-0.982810	0.042666	0.179621
19	674990943													0.136761	0.086030	-0.000294	0.169695	0.596942	0.784133	-0.074058	0.801147	-0.593868	-0.982710	0.042705	0.180159
20	675007610													0.128721	0.082322	0.006328	0.169948	0.599485	0.782135	-0.074880	0.799242	-0.596327	-0.982604	0.042779	0.180719
21	675024277													0.139522	0.060693	0.034307	0.170201	0.601789	0.780308	-0.075639	0.797504	-0.598553	-0.982502	0.042853	0.181255
22	675040944													0.159443	0.074720	0.022945	0.170514	0.604053	0.778489	-0.076334	0.795783	-0.600752	-0.982394	0.043011	0.181802
23	675057611													0.165508	0.073891	-0.001038	0.170832	0.605829	0.777038	-0.077022	0.794428	-0.602454	-0.982285	0.043069	0.182376
24	675074278													0.148879	0.065288	0.038285	0.171170	0.607600	0.775579	-0.077741	0.793072	-0.604147	-0.982170	0.043117	0.182986
25	675090945													0.130848	0.055466	0.038197	0.171622	0.609093	0.774307	-0.078480	0.791923	-0.605556	-0.982032	0.043158	0.183713
26	675107612													0.092055	0.077349	0.026188	0.172082	0.610391	0.773182	-0.079219	0.790924	-0.606765	-0.981892	0.043162	0.184458
27	675124279													0.108754	0.016574	0.045023	0.172467	0.611671	0.772084	-0.080019	0.789939	-0.607942	-0.981760	0.043068	0.185184
28	675140946													0.114700	-0.034280	0.028372	0.172885	0.612880	0.771031	-0.080880	0.789009	-0.609035	-0.981616	0.042932	0.185977
29	675157613													0.083575	-0.073265	-0.015354	0.173222	0.614056	0.770019	-0.081793	0.788107	-0.610080	-0.981481	0.042697	0.186743
30	675174280													0.041204	-0.087056	-0.039433	0.173517	0.615347	0.768922	-0.082702	0.787112	-0.611241	-0.981352	0.042470	0.187468
31	675190947													0.039717	-0.110875	-0.026749	0.173869	0.616718	0.767743	-0.083663	0.786049	-0.612476	-0.981208	0.042259	0.188266
32	675207614													0.057107	-0.145006	-0.010644	0.174211	0.618226	0.766451	-0.084593	0.784872	-0.613857	-0.981068	0.042105	0.189031
33	675224281													0.063238	-0.136421	0.006061	0.174473	0.619789	0.765128	-0.085505	0.783647	-0.615293	-0.980943	0.041929	0.189720
34	675240948													0.075808	-0.108651	0.053164	0.174686	0.621700	0.763527	-0.086392	0.782137	-0.617088	-0.980827	0.041834	0.190339
35	675257615													0.090797	-0.085138	0.041659	0.174934	0.623681	0.761853	-0.087232	0.780559	-0.618965	-0.980708	0.041821	0.190951
36	675274282													0.110190	-0.086451	0.039527	0.175207	0.625653	0.760171	-0.087941	0.778974	-0.620860	-0.980596	0.041929	0.191502
37	675290949													0.133057	-0.057740	0.061110	0.175546	0.627506	0.758564	-0.088454	0.777467	-0.622673	-0.980489	0.042210	0.191987
38	675307616													0.147159	-0.066534	0.052463	0.176031	0.629362	0.756913	-0.088837	0.775939	-0.624521	-0.980368	0.042693	0.192500
39	675324283													0.142418	-0.007653	0.036228	0.176439	0.631229	0.755261	-0.089211	0.774396	-0.626380	-0.980260	0.043141	0.192947
40	675340950													0.135354	-0.010773	0.047525	0.176914	0.632762	0.753866	-0.089569	0.773120	-0.627904	-0.980142	0.043562	0.193452
41	675357617													0.142459	-0.069614	0.031024	0.177566	0.634394	0.752340	-0.090096	0.771757	-0.629503	-0.979976	0.043995	0.194194
42	675374284													0.146764	-0.039581	0.037430	0.178201	0.636362	0.750525	-0.090841	0.770115	-0.631404	-0.979792	0.044338	0.195044
43	675390951													0.141347	-0.051303	0.033975	0.178950	0.638117	0.748855	-0.091498	0.768637	-0.633108	-0.979594	0.044776	0.195933
44	675407618													0.140249	-0.056801	0.057158	0.179835	0.639874	0.747142	-0.092100	0.767140	-0.634833	-0.979376	0.045353	0.196891
45	675424285													0.195920	-0.030228	0.078529	0.180605	0.642187	0.744969	-0.092721	0.765167	-0.637120	-0.979176	0.045993	0.197737
46	675440952													0.189635	-0.009835	0.077730	0.181399	0.644296	0.742952	-0.093200	0.763349	-0.639228	-0.978983	0.046712	0.198519
47	675457619													0.158496	-0.072255	0.082231	0.182386	0.646167	0.741082	-0.093603	0.761712	-0.641119	-0.978761	0.047564	0.199409
48	675474286													0.162476	-0.139724	0.056471	0.183324	0.648119	0.739144	-0.093928	0.759995	-0.643106	-0.978555	0.048470	0.200202
49	675490953													0.170967	-0.084962	0.042015	0.183997	0.650344	0.737019	-0.094253	0.758040	-0.645362	-0.978397	0.049279	0.200774
50	675507620													0.172082	-0.075402	0.034080	0.184926	0.652421	0.734948	-0.094484	0.756186	-0.647500	-0.978200	0.050299	0.201482
51	675524287													0.210965	-0.193659	0.089650	0.186156	0.654423	0.732855	-0.094625	0.754367	-0.649597	-0.977953	0.051580	0.202355
52	675540954													0.219150	-0.189792	0.072389	0.187265	0.656460	0.730748	-0.094630	0.752504	-0.651754	-0.977741	0.052900	0.203038
53	675557621													0.258854	-0.193976	0.047619	0.188045	0.658404	0.728795	-0.094506	0.750719	-0.653826	-0.977603	0.054073	0.203393
54	675574288													0.256701	-0.233570	0.038135	0.188908	0.660439	0.726728	-0.094411	0.748839	-0.655992	-0.977446	0.055311	0.203815
55	675590955													0.267543	-0.295291	0.052737	0.189954	0.662508	0.724569	-0.094348	0.746908	-0.658199	-0.977249	0.056666	0.204385
56	675607622													0.290263	-0.273556	0.008820	0.190927	0.664700	0.722302	-0.094277	0.744854	-0.660533	-0.977066	0.058017	0.204879
57	675624289													0.306164	-0.262484	-0.020294	0.191920	0.667025	0.719892	-0.094263	0.742665	-0.662996	-0.976873	0.059383	0.205408
58	675640956													0.332396	-0.235964	-0.039128	0.192786	0.669533	0.717328	-0.094184	0.740293	-0.665655	-0.976710	0.060769	0.205778
59	675657623													0.295603	-0.181412	-0.069408	0.193179	0.671777	0.715121	-0.093617	0.738145	-0.668116	-0.976687	0.062118	0.205483
60	675674290													0.253019	-0.086416	-0.106582	0.193214	0.673363	0.713618	-0.092364	0.736576	-0.670018	-0.976800	0.063544	0.204511
61	675690957													0.291772	-0.042171	-0.089830	0.192804	0.673750	0.713363	-0.090369	0.736107	-0.670806	-0.977067	0.064868	0.202810
62	675707624													0.313944	0.060341	0.096568	0.192123	0.673646	0.713646	-0.087683	0.736067	-0.671205	-0.977446	0.066379	0.200483
63	675724291													0.327653	0.016710	0.232797	0.192243	0.672657	0.714545	-0.084802	0.736790	-0.670782	-0.977676	0.068359	0.198686
64	675740958													0.339097	-0.068714	0.125177	0.192968	0.670537	0.716340	-0.082113	0.738537	-0.669194	-0.977763	0.070312	0.197574
65	675757625													0.363048	-0.124728	0.013200	0.193593	0.667974	0.718563	-0.079538	0.740693	-0.667118	-0.977853	0.071997	0.196522
66	675774292													0.292148	-0.112372	-0.166100	0.194216	0.664567	0.721548	-0.077135	0.743622	-0.664136	-0.977922	0.073329	0.195684
67	675790959													0.206487	-0.252422	-0.316648	0.194606	0.660772	0.724920	-0.075170	0.746923	-0.660648	-0.977997	0.074074	0.195026
68	675807626													0.158100	-0.415373	-0.273125	0.194321	0.657047	0.728374	-0.073524	0.750195	-0.657116	-0.978179	0.074138	0.194087
69	675824293													0.058178	-0.505528	-0.005000	0.193192	0.653485	0.731871	-0.072084	0.753361	-0.653645	-0.978509	0.073523	0.192649
70	675840960													-0.054655	-0.577094	0.200233	0.191997	0.650141	0.735156	-0.070534	0.756297	-0.650415	-0.978858	0.073024	0.191064
71	675857627													-0.156877	-0.612653	0.251593	0.190760	0.646775	0.738439	-0.068571	0.759195	-0.647241	-0.979239	0.072832	0.189174
72	675874294													-0.235900	-0.601620	0.283672	0.189285	0.643344	0.741808	-0.066177	0.762106	-0.644062	-0.979690	0.072821	0.186829
73	675890961													-0.241369	-0.749255	0.271077	0.188294	0.639915	0.745020	-0.063366	0.764924	-0.640996	-0.980066	0.073486	0.184579
74	675907628													-0.304433	-0.822302	0.189647	0.187655	0.636207	0.748349	-0.059864	0.767876	-0.637796	-0.980409	0.074886	0.182182
75	675924295													-0.376654	-0.924784	0.142532	0.186952	0.632157	0.751949	-0.055763	0.771039	-0.634342	-0.980785	0.076660	0.179399
76	675940962													-0.414732	-0.936371	0.071100	0.186501	0.627671	0.755808	-0.051198	0.774470	-0.630535	-0.981120	0.078900	0.176575
77	675957629													-0.323659	-0.839008	-0.115862	0.186545	0.622663	0.759929	-0.046155	0.778207	-0.626310	-0.981362	0.081761	0.173910
78	675974296													-0.242683	-0.654932	-0.144411	0.186659	0.617178	0.764362	-0.041004	0.782253	-0.621610	-0.981569	0.084687	0.171321
79	675990963													-0.220670	-0.474132	-0.146776	0.186645	0.611296	0.769078	-0.036663	0.786623	-0.616344	-0.981743	0.086840	0.169231
80	676007630													-0.215612	-0.407255	-0.201274	0.186504	0.605435	0.773734	-0.033349	0.791000	-0.610907	-0.981888	0.088134	0.167715
81	676024297													-0.254217	-0.414327	-0.094847	0.186141	0.599957	0.778077	-0.030773	0.795088	-0.605712	-0.982041	0.088804	0.166461
82	676040964													-0.347329	-0.382200	0.113894	0.185639	0.594504	0.782370	-0.028479	0.799131	-0.600482	-0.982205	0.089192	0.165280
83	676057631													-0.475269	-0.387616	0.104559	0.185184	0.589088	0.786564	-0.026251	0.803088	-0.595283	-0.982353	0.089589	0.164183
84	676074298													-0.580095	-0.435388	0.136182	0.184651	0.583800	0.790621	-0.023823	0.806877	-0.590239	-0.982515	0.090153	0.162899
85	676090965													-0.570459	-0.497279	0.192912	0.184084	0.578667	0.794517	-0.021321	0.810491	-0.585362	-0.982679	0.090816	0.161536
86	676107632													-0.556571	-0.626363	0.223498	0.183818	0.573633	0.798220	-0.019010	0.813980	-0.580581	-0.982776	0.091547	0.160529
87	676124299													-0.598087	-0.648689	0.243579	0.183870	0.568700	0.801731	-0.016894	0.817345	-0.575901	-0.982805	0.092346	0.159893
88	676140966													-0.601779	-0.705852	0.265182	0.184286	0.564161	0.804836	-0.014867	0.820367	-0.571643	-0.982760	0.093380	0.159569
89	676157633													-0.571233	-0.687831	0.349255	0.184900	0.560054	0.807559	-0.012865	0.823037	-0.567842	-0.982673	0.094605	0.159384
90	676174300													-0.552646	-0.666466	0.294001	0.185923	0.556520	0.809765	-0.010949	0.825256	-0.564653	-0.982503	0.096115	0.159527
91	676190967													-0.547503	-0.579890	0.162176	0.187457	0.553290	0.811622	-0.008975	0.827199	-0.561837	-0.982232	0.098036	0.160030
92	676207634													-0.584259	-0.580047	-0.007232	0.189247	0.550376	0.813186	-0.007023	0.828889	-0.559369	-0.981904	0.100148	0.160730
93	676224301													-0.607485	-0.630483	-0.140152	0.191271	0.547840	0.814424	-0.005106	0.830288	-0.557312	-0.981524	0.102439	0.161607
94	676240968													-0.559577	-0.614305	-0.203685	0.193588	0.545960	0.815139	-0.003158	0.831199	-0.555966	-0.981078	0.105055	0.162635
95	676257635													-0.617134	-0.457705	-0.181415	0.195353	0.545150	0.815260	-0.001299	0.831419	-0.555644	-0.980732	0.107487	0.163128
96	676274302													-0.635767	-0.298348	-0.141226	0.196625	0.545654	0.814617	0.000149	0.830819	-0.556542	-0.980479	0.109551	0.163279
97	676290969													-0.701974	-0.239998	-0.206686	0.197744	0.547283	0.813252	0.000762	0.829548	-0.558435	-0.980253	0.111047	0.163622
