Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,PacketCounter
0.5821916,0.15342414,-0.746195,0.08176332,-0.23607558,-1.9549294,0.7016692,1
-0.34540012,0.6491251,0.15061353,0.63886523,0.13458383,-3.586059,-3.8347726,2
-0.20658913,0.730675,0.16342498,0.5865996,-0.016349053,-0.106944144,-1.3589836,3
0.55294573,0.3693049,-0.60192865,0.3588138,0.6168238,-0.58786047,0.19087265,4
0.72881496,0.2042691,-0.7664223,0.23758191,-1.1907014,-1.5280688,1.7964495,5
-0.24686235,0.7668074,0.1640609,0.7576887,-0.887498,-7.831143,0.86335814,6
-0.12740457,0.7693207,0.13294159,0.5799304,0.1794907,0.7393318,-0.62372637,7
-0.16358986,0.8158757,0.20208679,0.57565594,0.087272815,0.86822754,-0.24403323,8
-0.2841514,0.65449923,0.18284343,0.5975475,0.4897066,-0.27610916,0.13973913,9
-0.09992868,0.739338,0.06219849,0.6658849,-0.09285531,1.4446418,1.0540118,10
0.623687,0.1989752,-0.672469,0.19354269,-0.2703444,-0.6565796,0.7658615,11
-0.13003832,0.7047904,0.09885411,0.5550992,0.6330565,-0.20676488,1.5336796,12
0.6089022,0.23633133,-0.7172295,0.19474256,1.8396608,-0.2981215,-0.050577223,13
-0.018164307,0.72391874,0.14619328,0.5941,-0.29862586,2.0975916,0.32367146,14
0.66967475,0.13567477,-0.67748046,0.24449107,-0.2437082,1.203577,-0.76109535,15
-0.25673434,0.7159421,0.27300972,0.5902099,-0.15886173,0.74132305,-0.099964574,16
-0.16370901,0.79072165,0.18475156,0.5895111,0.06928264,0.66695815,-0.5283878,17
0.07606149,0.5873498,0.107941076,0.45755306,1.1269351,4.0172887,1.5816785,18
-0.19382593,0.7541977,0.23159961,0.5953008,0.12413613,1.9012343,0.100011095,19
-0.087308526,0.70038396,0.21522014,0.5954621,1.4885988,2.7809145,1.614073,20
-0.33622578,0.6838469,0.1909893,0.6256432,0.39727512,-0.78112125,-1.6734846,21
0.6473682,0.15028676,-0.72102094,0.19237033,0.16034223,-0.33721882,-0.34163624,22
